timestamp,nr samples,same data split,Dataset,Bias Mitigation,ML method,ML bias mit,Sensitive attrs,Race split,race|[+%] Proportion of Positive labels for the group,VAR|race|[+%] Proportion of Positive labels for the group,sex|[s1 +%] Proportion of Positive labels for the group where sex is 1,White|[s1 +%] Proportion of Positive labels for the group where sex is 1,Black|[s1 +%] Proportion of Positive labels for the group where sex is 1,Asian-Pac-Islander|[s1 +%] Proportion of Positive labels for the group where sex is 1,Other|[s1 +%] Proportion of Positive labels for the group where sex is 1,VAR|sex|[s1 +%] Proportion of Positive labels for the group where sex is 1,VAR|White|[s1 +%] Proportion of Positive labels for the group where sex is 1,VAR|Black|[s1 +%] Proportion of Positive labels for the group where sex is 1,VAR|Asian-Pac-Islander|[s1 +%] Proportion of Positive labels for the group where sex is 1,VAR|Other|[s1 +%] Proportion of Positive labels for the group where sex is 1,race|[s1 +%] Proportion of Positive labels for the group where sex is 1,VAR|race|[s1 +%] Proportion of Positive labels for the group where sex is 1,African-American|[s1 +%] Proportion of Positive labels for the group where sex is 1,Caucasian|[s1 +%] Proportion of Positive labels for the group where sex is 1,VAR|African-American|[s1 +%] Proportion of Positive labels for the group where sex is 1,VAR|Caucasian|[s1 +%] Proportion of Positive labels for the group where sex is 1,sex|[s0 +%] Proportion of Positive labels for the group where sex is 0,White|[s0 +%] Proportion of Positive labels for the group where sex is 0,Black|[s0 +%] Proportion of Positive labels for the group where sex is 0,Asian-Pac-Islander|[s0 +%] Proportion of Positive labels for the group where sex is 0,Other|[s0 +%] Proportion of Positive labels for the group where sex is 0,VAR|sex|[s0 +%] Proportion of Positive labels for the group where sex is 0,VAR|White|[s0 +%] Proportion of Positive labels for the group where sex is 0,VAR|Black|[s0 +%] Proportion of Positive labels for the group where sex is 0,VAR|Asian-Pac-Islander|[s0 +%] Proportion of Positive labels for the group where sex is 0,VAR|Other|[s0 +%] Proportion of Positive labels for the group where sex is 0,race|[s0 +%] Proportion of Positive labels for the group where sex is 0,VAR|race|[s0 +%] Proportion of Positive labels for the group where sex is 0,African-American|[s0 +%] Proportion of Positive labels for the group where sex is 0,Caucasian|[s0 +%] Proportion of Positive labels for the group where sex is 0,VAR|African-American|[s0 +%] Proportion of Positive labels for the group where sex is 0,VAR|Caucasian|[s0 +%] Proportion of Positive labels for the group where sex is 0
2023-03-23 01:35:03.565184,1,True,Adult Dataset,FairBalance Bias Mitigation,LogisticRegression,,['race'],Asian-Pac-Islander,0.32142857142857145,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-23 01:35:03.521409,1,True,Adult Dataset,FairBalance Bias Mitigation,LogisticRegression,,['race'],White,0.3844086021505376,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-23 01:35:02.638981,1,True,Adult Dataset,FairBalance Bias Mitigation,LogisticRegression,,['race'],Other,0.217391304347826,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-23 01:35:02.596782,1,True,Adult Dataset,FairBalance Bias Mitigation,LogisticRegression,,['race'],Black,0.247588424437299,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-23 01:35:02.547549,1,True,Adult Dataset,FairBalance Bias Mitigation,LogisticRegression,,['race'],Asian-Pac-Islander,0.3214285714285714,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-23 01:35:02.498167,1,True,Adult Dataset,FairBalance Bias Mitigation,LogisticRegression,,['race'],White,0.3795698924731183,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-23 01:35:01.659258,1,True,Adult Dataset,FairBalance Bias Mitigation,LogisticRegression,,['race'],Other,0.217391304347826,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-23 01:35:01.621190,1,True,Adult Dataset,FairBalance Bias Mitigation,LogisticRegression,,['race'],Black,0.1784565916398713,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-23 01:35:01.580384,1,True,Adult Dataset,FairBalance Bias Mitigation,LogisticRegression,,['race'],Asian-Pac-Islander,0.3061224489795918,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-23 01:35:01.535162,1,True,Adult Dataset,FairBalance Bias Mitigation,LogisticRegression,,['race'],White,0.38584229390681,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-23 01:35:00.647364,1,True,Adult Dataset,FairBalance Bias Mitigation,LogisticRegression,,['race'],Other,0.2608695652173913,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-23 01:35:00.600114,1,True,Adult Dataset,FairBalance Bias Mitigation,LogisticRegression,,['race'],Black,0.2234726688102893,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-23 01:35:00.554218,1,True,Adult Dataset,FairBalance Bias Mitigation,LogisticRegression,,['race'],Asian-Pac-Islander,0.3775510204081632,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-23 01:35:00.500414,1,True,Adult Dataset,FairBalance Bias Mitigation,LogisticRegression,,['race'],White,0.3774193548387097,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-23 01:34:59.634397,1,True,Adult Dataset,No Bias Mitigation,LogisticRegression,,['race'],Other,0.0782608695652174,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-23 01:34:59.597110,1,True,Adult Dataset,No Bias Mitigation,LogisticRegression,,['race'],Black,0.0739549839228295,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-23 01:34:59.555633,1,True,Adult Dataset,No Bias Mitigation,LogisticRegression,,['race'],Asian-Pac-Islander,0.2142857142857142,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-23 01:34:59.513610,1,True,Adult Dataset,No Bias Mitigation,LogisticRegression,,['race'],White,0.2209677419354838,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-23 01:34:58.698790,1,True,Compas Dataset,FairBalance Bias Mitigation,LogisticRegression,,['race'],African-American,0.5227920227920227,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-23 01:34:58.675158,1,True,Compas Dataset,FairBalance Bias Mitigation,LogisticRegression,,['race'],Other,0.5181818181818182,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-23 01:34:58.653908,1,True,Compas Dataset,FairBalance Bias Mitigation,LogisticRegression,,['race'],Caucasian,0.5533980582524272,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-23 01:34:58.495313,1,True,Compas Dataset,FairBalance Bias Mitigation,LogisticRegression,,['race'],African-American,0.4415954415954416,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-23 01:34:58.472508,1,True,Compas Dataset,FairBalance Bias Mitigation,LogisticRegression,,['race'],Other,0.5363636363636364,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-23 01:34:58.452747,1,True,Compas Dataset,FairBalance Bias Mitigation,LogisticRegression,,['race'],Caucasian,0.6796116504854369,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-23 01:34:58.283160,1,True,Compas Dataset,FairBalance Bias Mitigation,LogisticRegression,,['race'],African-American,0.4786324786324786,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-23 01:34:58.259264,1,True,Compas Dataset,FairBalance Bias Mitigation,LogisticRegression,,['race'],Other,0.6772727272727272,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-23 01:34:58.235795,1,True,Compas Dataset,FairBalance Bias Mitigation,LogisticRegression,,['race'],Caucasian,0.5495145631067961,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-23 01:34:58.055362,1,True,Compas Dataset,No Bias Mitigation,LogisticRegression,,['race'],African-American,0.5213675213675214,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-23 01:34:58.032201,1,True,Compas Dataset,No Bias Mitigation,LogisticRegression,,['race'],Other,0.7318181818181818,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-23 01:34:58.013333,1,True,Compas Dataset,No Bias Mitigation,LogisticRegression,,['race'],Caucasian,0.7203883495145631,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-23 01:34:57.273321,1,True,Adult Dataset,FairBalance Bias Mitigation,LogisticRegression,,"['sex', 'White', 'Black', 'Asian-Pac-Islander', 'Other']",Other,,,0.3933287004864489,0.4004288394532297,0.3154761904761904,0.4606060606060606,0.2588235294117647,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2023-03-23 01:34:55.705915,1,True,Adult Dataset,FairBalance Bias Mitigation,LogisticRegression,,"['race', 'sex']",Other,,,0.3924021311095668,,,,,0.0,,,,,0.2588235294117647,0.0,,,,,,,,,,,,,,,,,,,,
2023-03-23 01:34:55.614639,1,True,Adult Dataset,FairBalance Bias Mitigation,LogisticRegression,,"['race', 'sex']",Black,,,0.3924021311095668,,,,,0.0,,,,,0.2410714285714285,0.0,,,,,,,,,,,,,,,,,,,,
2023-03-23 01:34:55.527969,1,True,Adult Dataset,FairBalance Bias Mitigation,LogisticRegression,,"['race', 'sex']",Asian-Pac-Islander,,,0.3924021311095668,,,,,0.0,,,,,0.4606060606060606,0.0,,,,,,,,,,,,,,,,,,,,
2023-03-23 01:34:55.446986,1,True,Adult Dataset,FairBalance Bias Mitigation,LogisticRegression,,"['race', 'sex']",White,,,0.3924021311095668,,,,,0.0,,,,,0.4060573572768695,0.0,,,,,,,,,,,,,,,,,,,,
2023-03-23 01:34:54.239138,1,True,Adult Dataset,FairBalance Bias Mitigation,LogisticRegression,,"['race', 'sex']",Other,,,0.3930970581422284,,,,,0.0,,,,,0.2,0.0,,,,,,,,,,,,,,,,,,,,
2023-03-23 01:34:54.156506,1,True,Adult Dataset,FairBalance Bias Mitigation,LogisticRegression,,"['race', 'sex']",Black,,,0.3930970581422284,,,,,0.0,,,,,0.3125,0.0,,,,,,,,,,,,,,,,,,,,
2023-03-23 01:34:54.074148,1,True,Adult Dataset,FairBalance Bias Mitigation,LogisticRegression,,"['race', 'sex']",Asian-Pac-Islander,,,0.3930970581422284,,,,,0.0,,,,,0.4606060606060606,0.0,,,,,,,,,,,,,,,,,,,,
2023-03-23 01:34:53.986700,1,True,Adult Dataset,FairBalance Bias Mitigation,LogisticRegression,,"['race', 'sex']",White,,,0.3930970581422284,,,,,0.0,,,,,0.4017689627445725,0.0,,,,,,,,,,,,,,,,,,,,
2023-03-23 01:34:52.840586,1,True,Adult Dataset,FairBalance Bias Mitigation,LogisticRegression,,"['race', 'sex']",Other,,,0.3917072040769052,,,,,0.0,,,,,0.2,0.0,,,,,,,,,,,,,,,,,,,,
2023-03-23 01:34:52.760327,1,True,Adult Dataset,FairBalance Bias Mitigation,LogisticRegression,,"['race', 'sex']",Black,,,0.3917072040769052,,,,,0.0,,,,,0.2410714285714285,0.0,,,,,,,,,,,,,,,,,,,,
2023-03-23 01:34:52.677339,1,True,Adult Dataset,FairBalance Bias Mitigation,LogisticRegression,,"['race', 'sex']",Asian-Pac-Islander,,,0.3917072040769052,,,,,0.0,,,,,0.4484848484848485,0.0,,,,,,,,,,,,,,,,,,,,
2023-03-23 01:34:52.597857,1,True,Adult Dataset,FairBalance Bias Mitigation,LogisticRegression,,"['race', 'sex']",White,,,0.3917072040769052,,,,,0.0,,,,,0.4071294559099437,0.0,,,,,,,,,,,,,,,,,,,,
2023-03-23 01:34:51.426553,1,True,Adult Dataset,FairBalance Bias Mitigation,LogisticRegression,,"['race', 'sex']",Other,,,0.3903173500115821,,,,,0.0,,,,,0.2235294117647059,0.0,,,,,,,,,,,,,,,,,,,,
2023-03-23 01:34:51.344589,1,True,Adult Dataset,FairBalance Bias Mitigation,LogisticRegression,,"['race', 'sex']",Black,,,0.3903173500115821,,,,,0.0,,,,,0.2738095238095238,0.0,,,,,,,,,,,,,,,,,,,,
2023-03-23 01:34:51.260574,1,True,Adult Dataset,FairBalance Bias Mitigation,LogisticRegression,,"['race', 'sex']",Asian-Pac-Islander,,,0.3903173500115821,,,,,0.0,,,,,0.5212121212121212,0.0,,,,,,,,,,,,,,,,,,,,
2023-03-23 01:34:51.174050,1,True,Adult Dataset,FairBalance Bias Mitigation,LogisticRegression,,"['race', 'sex']",White,,,0.3903173500115821,,,,,0.0,,,,,0.3988206915036183,0.0,,,,,,,,,,,,,,,,,,,,
2023-03-23 01:34:49.973161,1,True,Adult Dataset,No Bias Mitigation,LogisticRegression,,"['race', 'sex']",Other,,,0.2608292795923094,,,,,0.0,,,,,0.0823529411764705,0.0,,,,,,,,,,,,,,,,,,,,
2023-03-23 01:34:49.880352,1,True,Adult Dataset,No Bias Mitigation,LogisticRegression,,"['race', 'sex']",Black,,,0.2608292795923094,,,,,0.0,,,,,0.1369047619047619,0.0,,,,,,,,,,,,,,,,,,,,
2023-03-23 01:34:49.789585,1,True,Adult Dataset,No Bias Mitigation,LogisticRegression,,"['race', 'sex']",Asian-Pac-Islander,,,0.2608292795923094,,,,,0.0,,,,,0.3151515151515151,0.0,,,,,,,,,,,,,,,,,,,,
2023-03-23 01:34:49.687622,1,True,Adult Dataset,No Bias Mitigation,LogisticRegression,,"['race', 'sex']",White,,,0.2608292795923094,,,,,0.0,,,,,0.2736531760922004,0.0,,,,,,,,,,,,,,,,,,,,
2023-03-23 01:34:48.491687,1,True,Adult Dataset,FairMask Bias Mitigation,RandomForestClassifier,DecisionTreeRegressor,"['sex', 'White', 'Black', 'Asian-Pac-Islander', 'Other']",Other,,,0.2371252002746623,0.2433766233766233,0.1442953020134228,0.3092105263157895,0.1304347826086956,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2023-03-23 01:34:38.156450,1,True,Adult Dataset,FairMask Bias Mitigation,RandomForestClassifier,DecisionTreeRegressor,"['race', 'sex']",Other,,,0.2304875257495994,,,,,0.0,,,,,0.144927536231884,0.0,,,,,,,,,,,,,,,,,,,,
2023-03-23 01:34:38.073283,1,True,Adult Dataset,FairMask Bias Mitigation,RandomForestClassifier,DecisionTreeRegressor,"['race', 'sex']",Black,,,0.2304875257495994,,,,,0.0,,,,,0.1375838926174496,0.0,,,,,,,,,,,,,,,,,,,,
2023-03-23 01:34:37.988587,1,True,Adult Dataset,FairMask Bias Mitigation,RandomForestClassifier,DecisionTreeRegressor,"['race', 'sex']",Asian-Pac-Islander,,,0.2304875257495994,,,,,0.0,,,,,0.3026315789473684,0.0,,,,,,,,,,,,,,,,,,,,
2023-03-23 01:34:37.905806,1,True,Adult Dataset,FairMask Bias Mitigation,RandomForestClassifier,DecisionTreeRegressor,"['race', 'sex']",White,,,0.2304875257495994,,,,,0.0,,,,,0.2363636363636363,0.0,,,,,,,,,,,,,,,,,,,,
2023-03-23 01:34:32.865208,1,True,Adult Dataset,FairMask Bias Mitigation,RandomForestClassifier,DecisionTreeRegressor,"['race', 'sex']",Other,,,0.2389562829022659,,,,,0.0,,,,,0.144927536231884,0.0,,,,,,,,,,,,,,,,,,,,
2023-03-23 01:34:32.780520,1,True,Adult Dataset,FairMask Bias Mitigation,RandomForestClassifier,DecisionTreeRegressor,"['race', 'sex']",Black,,,0.2389562829022659,,,,,0.0,,,,,0.1577181208053691,0.0,,,,,,,,,,,,,,,,,,,,
2023-03-23 01:34:32.694762,1,True,Adult Dataset,FairMask Bias Mitigation,RandomForestClassifier,DecisionTreeRegressor,"['race', 'sex']",Asian-Pac-Islander,,,0.2389562829022659,,,,,0.0,,,,,0.3092105263157895,0.0,,,,,,,,,,,,,,,,,,,,
2023-03-23 01:34:32.613159,1,True,Adult Dataset,FairMask Bias Mitigation,RandomForestClassifier,DecisionTreeRegressor,"['race', 'sex']",White,,,0.2389562829022659,,,,,0.0,,,,,0.2441558441558441,0.0,,,,,,,,,,,,,,,,,,,,
2023-03-23 01:34:27.331348,1,True,Adult Dataset,FairMask Bias Mitigation,RandomForestClassifier,DecisionTreeRegressor,"['race', 'sex']",Other,,,0.2332341496910048,,,,,0.0,,,,,0.144927536231884,0.0,,,,,,,,,,,,,,,,,,,,
2023-03-23 01:34:27.249866,1,True,Adult Dataset,FairMask Bias Mitigation,RandomForestClassifier,DecisionTreeRegressor,"['race', 'sex']",Black,,,0.2332341496910048,,,,,0.0,,,,,0.1375838926174496,0.0,,,,,,,,,,,,,,,,,,,,
2023-03-23 01:34:27.163918,1,True,Adult Dataset,FairMask Bias Mitigation,RandomForestClassifier,DecisionTreeRegressor,"['race', 'sex']",Asian-Pac-Islander,,,0.2332341496910048,,,,,0.0,,,,,0.3026315789473684,0.0,,,,,,,,,,,,,,,,,,,,
2023-03-23 01:34:27.078805,1,True,Adult Dataset,FairMask Bias Mitigation,RandomForestClassifier,DecisionTreeRegressor,"['race', 'sex']",White,,,0.2332341496910048,,,,,0.0,,,,,0.2394805194805195,0.0,,,,,,,,,,,,,,,,,,,,
2023-03-23 01:34:21.899551,1,True,Adult Dataset,FairMask Bias Mitigation,RandomForestClassifier,DecisionTreeRegressor,"['race', 'sex']",Other,,,0.2357518883039597,,,,,0.0,,,,,0.144927536231884,0.0,,,,,,,,,,,,,,,,,,,,
2023-03-23 01:34:21.813914,1,True,Adult Dataset,FairMask Bias Mitigation,RandomForestClassifier,DecisionTreeRegressor,"['race', 'sex']",Black,,,0.2357518883039597,,,,,0.0,,,,,0.1409395973154362,0.0,,,,,,,,,,,,,,,,,,,,
2023-03-23 01:34:21.729350,1,True,Adult Dataset,FairMask Bias Mitigation,RandomForestClassifier,DecisionTreeRegressor,"['race', 'sex']",Asian-Pac-Islander,,,0.2357518883039597,,,,,0.0,,,,,0.3223684210526316,0.0,,,,,,,,,,,,,,,,,,,,
2023-03-23 01:34:21.643630,1,True,Adult Dataset,FairMask Bias Mitigation,RandomForestClassifier,DecisionTreeRegressor,"['race', 'sex']",White,,,0.2357518883039597,,,,,0.0,,,,,0.2412987012987013,0.0,,,,,,,,,,,,,,,,,,,,
2023-03-23 01:34:16.048273,1,True,Adult Dataset,No Bias Mitigation,RandomForestClassifier,,"['race', 'sex']",Other,,,0.2378118562600137,,,,,0.0,,,,,0.1014492753623188,0.0,,,,,,,,,,,,,,,,,,,,
2023-03-23 01:34:15.965551,1,True,Adult Dataset,No Bias Mitigation,RandomForestClassifier,,"['race', 'sex']",Black,,,0.2378118562600137,,,,,0.0,,,,,0.1241610738255033,0.0,,,,,,,,,,,,,,,,,,,,
2023-03-23 01:34:15.882709,1,True,Adult Dataset,No Bias Mitigation,RandomForestClassifier,,"['race', 'sex']",Asian-Pac-Islander,,,0.2378118562600137,,,,,0.0,,,,,0.2236842105263158,0.0,,,,,,,,,,,,,,,,,,,,
2023-03-23 01:34:15.798059,1,True,Adult Dataset,No Bias Mitigation,RandomForestClassifier,,"['race', 'sex']",White,,,0.2378118562600137,,,,,0.0,,,,,0.2496103896103896,0.0,,,,,,,,,,,,,,,,,,,,
2023-03-23 01:34:13.896482,1,True,Compas Dataset,FairBalance Bias Mitigation,LogisticRegression,,"['sex', 'Other', 'African-American', 'Caucasian']",African-American,,,0.5269922879177378,,,,0.6235294117647059,0.0,,,,0.0,,,0.4928684627575277,0.5409836065573771,0.0,0.0,,,,,,,,,,,,,,,,
2023-03-23 01:34:13.601039,1,True,Compas Dataset,FairBalance Bias Mitigation,LogisticRegression,,"['race', 'sex']",African-American,,,0.5295629820051414,,,,,0.0,,,,,0.4928684627575277,0.0,,,,,,,,,,,,,,,,,,,,
2023-03-23 01:34:13.567927,1,True,Compas Dataset,FairBalance Bias Mitigation,LogisticRegression,,"['race', 'sex']",Other,,,0.5295629820051414,,,,,0.0,,,,,0.6176470588235294,0.0,,,,,,,,,,,,,,,,,,,,
2023-03-23 01:34:13.537656,1,True,Compas Dataset,FairBalance Bias Mitigation,LogisticRegression,,"['race', 'sex']",Caucasian,,,0.5295629820051414,,,,,0.0,,,,,0.5519125683060109,0.0,,,,,,,,,,,,,,,,,,,,
